loss,recall,precision,accuracy,val_loss,val_recall,val_precision,val_accuracy
6.1185,0.4498,0.7087,0.5798,1.5416,0.5757,0.7964,0.6845
1.5777,0.536,0.7685,0.6527,1.2966,0.6112,0.8072,0.708
1.3687,0.5647,0.7817,0.6759,1.1837,0.6232,0.8217,0.7241
1.262,0.5858,0.7885,0.6916,1.1097,0.6343,0.8277,0.7316
1.1888,0.6023,0.7953,0.6976,1.0871,0.6419,0.8199,0.728
1.1414,0.6152,0.7987,0.7062,1.0552,0.6532,0.8207,0.7358
1.1253,0.617,0.7965,0.7067,1.0147,0.6617,0.831,0.7494
1.1054,0.6237,0.8011,0.7113,1.0178,0.6544,0.8227,0.7389
1.0841,0.6324,0.804,0.7158,1.0073,0.6638,0.8272,0.7427
1.0841,0.6287,0.8004,0.7127,0.9996,0.6638,0.8307,0.7445
1.0809,0.6265,0.7991,0.7124,1.0023,0.662,0.825,0.7411
1.0691,0.6316,0.7983,0.7156,0.9871,0.6696,0.8266,0.7455
1.0639,0.6362,0.8062,0.7181,0.9785,0.669,0.8323,0.7522
1.0671,0.633,0.8019,0.7177,0.9674,0.677,0.8328,0.7477
1.0621,0.6332,0.8034,0.717,0.9772,0.6674,0.831,0.7507
1.0591,0.6332,0.8038,0.7161,0.9888,0.6598,0.8286,0.7393
1.0554,0.6339,0.8009,0.7181,0.9759,0.6686,0.8328,0.7466
1.0504,0.638,0.806,0.7201,0.9747,0.6735,0.8325,0.7508
1.0541,0.6363,0.8058,0.7196,0.9755,0.6684,0.8339,0.7512
0.9791,0.6577,0.8178,0.74,0.8489,0.7098,0.8408,0.7721
0.8951,0.684,0.8265,0.752,0.8242,0.7139,0.8486,0.7739
0.8658,0.6896,0.8318,0.7585,0.8153,0.7115,0.8455,0.7761
0.8533,0.6921,0.8332,0.7618,0.803,0.7175,0.8464,0.781
0.8394,0.6984,0.8378,0.7672,0.8077,0.7163,0.843,0.7765
0.8361,0.695,0.8348,0.7637,0.8026,0.7175,0.8445,0.7771
0.8273,0.7031,0.8398,0.7696,0.8023,0.7133,0.8444,0.7767
0.8228,0.7035,0.8367,0.7685,0.7977,0.7196,0.8457,0.7801
0.8207,0.7032,0.8361,0.7683,0.8028,0.7189,0.8411,0.7805
0.8203,0.7035,0.838,0.7698,0.7914,0.7221,0.8464,0.7822
